"","ID","Measurement","Value"
"1",1,"MaxSpeed","68"
"2",2,"MaxSpeed","62"
"3",3,"MaxSpeed","61"
"4",4,"MaxSpeed","66"
"5",5,"MaxSpeed","69"
"6",6,"MaxSpeed","69"
"7",7,"MaxSpeed","57"
"8",8,"MaxSpeed","72"
"9",9,"MaxSpeed","55"
"10",10,"MaxSpeed","59"
"11",11,"MaxSpeed","64"
"12",12,"MaxSpeed","71"
"13",13,"MaxSpeed","78"
"14",14,"MaxSpeed","82"
"15",15,"MaxSpeed","59"
"16",16,"MaxSpeed","62"
"17",17,"MaxSpeed","58"
"18",18,"MaxSpeed","50"
"19",19,"MaxSpeed","64"
"20",20,"MaxSpeed","76"
"21",21,"MaxSpeed","62"
"22",22,"MaxSpeed","65"
"23",23,"MaxSpeed","51"
"24",24,"MaxSpeed","53"
"25",25,"MaxSpeed","68"
"26",26,"MaxSpeed","70"
"27",27,"MaxSpeed","61"
"28",28,"MaxSpeed","68"
"29",29,"MaxSpeed","65"
"30",30,"MaxSpeed","66"
"31",31,"MaxSpeed","77"
"32",32,"MaxSpeed","63"
"33",33,"MaxSpeed","61"
"34",34,"MaxSpeed","68"
"35",35,"MaxSpeed","56"
"36",36,"MaxSpeed","57"
"37",37,"MaxSpeed","67"
"38",38,"MaxSpeed","57"
"39",39,"MaxSpeed","68"
"40",40,"MaxSpeed","67"
"41",41,"MaxSpeed","56"
"42",42,"MaxSpeed","64"
"43",43,"MaxSpeed","57"
"44",44,"MaxSpeed","70"
"45",45,"MaxSpeed","70"
"46",46,"MaxSpeed","65"
"47",47,"MaxSpeed","60"
"48",48,"MaxSpeed","45"
"49",49,"MaxSpeed","68"
"50",50,"MaxSpeed","68"
"51",51,"MaxSpeed","60"
"52",52,"MaxSpeed","70"
"53",53,"MaxSpeed","66"
"54",54,"MaxSpeed","78"
"55",55,"MaxSpeed","73"
"56",56,"MaxSpeed","68"
"57",57,"MaxSpeed","77"
"58",58,"MaxSpeed","59"
"59",59,"MaxSpeed","71"
"60",60,"MaxSpeed","66"
"61",61,"MaxSpeed","57"
"62",62,"MaxSpeed","68"
"63",63,"MaxSpeed","70"
"64",64,"MaxSpeed","64"
"65",65,"MaxSpeed","67"
"66",66,"MaxSpeed","80"
"67",67,"MaxSpeed","70"
"68",68,"MaxSpeed","61"
"69",69,"MaxSpeed","70"
"70",70,"MaxSpeed","68"
"71",71,"MaxSpeed","63"
"72",72,"MaxSpeed","72"
"73",73,"MaxSpeed","71"
"74",74,"MaxSpeed","64"
"75",75,"MaxSpeed","70"
"76",76,"MaxSpeed","60"
"77",77,"MaxSpeed","68"
"78",78,"MaxSpeed","75"
"79",79,"MaxSpeed","68"
"80",80,"MaxSpeed","62"
"81",81,"MaxSpeed","54"
"82",82,"MaxSpeed","70"
"83",83,"MaxSpeed","72"
"84",84,"MaxSpeed","68"
"85",85,"MaxSpeed","46"
"86",86,"MaxSpeed","57"
"87",87,"MaxSpeed","65"
"88",88,"MaxSpeed","61"
"89",89,"MaxSpeed","77"
"90",90,"MaxSpeed","58"
"91",91,"MaxSpeed","60"
"92",92,"MaxSpeed","61"
"93",93,"MaxSpeed","66"
"94",94,"MaxSpeed","60"
"95",95,"MaxSpeed","88"
"96",96,"MaxSpeed","62"
"97",97,"MaxSpeed","65"
"98",98,"MaxSpeed","69"
"99",99,"MaxSpeed","64"
"100",100,"MaxSpeed","62"
"101",1,"NumberSpots","79"
"102",2,"NumberSpots","206"
"103",3,"NumberSpots","82"
"104",4,"NumberSpots","356"
"105",5,"NumberSpots","329"
"106",6,"NumberSpots","96"
"107",7,"NumberSpots","485"
"108",8,"NumberSpots","181"
"109",9,"NumberSpots","36"
"110",10,"NumberSpots","507"
"111",11,"NumberSpots","52"
"112",12,"NumberSpots","275"
"113",13,"NumberSpots","165"
"114",14,"NumberSpots","128"
"115",15,"NumberSpots","134"
"116",16,"NumberSpots","235"
"117",17,"NumberSpots","185"
"118",18,"NumberSpots","19"
"119",19,"NumberSpots","239"
"120",20,"NumberSpots","403"
"121",21,"NumberSpots","125"
"122",22,"NumberSpots","338"
"123",23,"NumberSpots","586"
"124",24,"NumberSpots","79"
"125",25,"NumberSpots","304"
"126",26,"NumberSpots","17"
"127",27,"NumberSpots","1107"
"128",28,"NumberSpots","283"
"129",29,"NumberSpots","64"
"130",30,"NumberSpots","261"
"131",31,"NumberSpots","201"
"132",32,"NumberSpots","160"
"133",33,"NumberSpots","197"
"134",34,"NumberSpots","135"
"135",35,"NumberSpots","198"
"136",36,"NumberSpots","157"
"137",37,"NumberSpots","118"
"138",38,"NumberSpots","220"
"139",39,"NumberSpots","287"
"140",40,"NumberSpots","208"
"141",41,"NumberSpots","124"
"142",42,"NumberSpots","76"
"143",43,"NumberSpots","216"
"144",44,"NumberSpots","295"
"145",45,"NumberSpots","22"
"146",46,"NumberSpots","208"
"147",47,"NumberSpots","432"
"148",48,"NumberSpots","90"
"149",49,"NumberSpots","102"
"150",50,"NumberSpots","151"
"151",51,"NumberSpots","276"
"152",52,"NumberSpots","176"
"153",53,"NumberSpots","185"
"154",54,"NumberSpots","141"
"155",55,"NumberSpots","265"
"156",56,"NumberSpots","528"
"157",57,"NumberSpots","49"
"158",58,"NumberSpots","93"
"159",59,"NumberSpots","89"
"160",60,"NumberSpots","332"
"161",61,"NumberSpots","285"
"162",62,"NumberSpots","176"
"163",63,"NumberSpots","777"
"164",64,"NumberSpots","149"
"165",65,"NumberSpots","61"
"166",66,"NumberSpots","139"
"167",67,"NumberSpots","520"
"168",68,"NumberSpots","89"
"169",69,"NumberSpots","601"
"170",70,"NumberSpots","275"
"171",71,"NumberSpots","320"
"172",72,"NumberSpots","350"
"173",73,"NumberSpots","41"
"174",74,"NumberSpots","451"
"175",75,"NumberSpots","267"
"176",76,"NumberSpots","28"
"177",77,"NumberSpots","746"
"178",78,"NumberSpots","27"
"179",79,"NumberSpots","343"
"180",80,"NumberSpots","179"
"181",81,"NumberSpots","337"
"182",82,"NumberSpots","61"
"183",83,"NumberSpots","153"
"184",84,"NumberSpots","92"
"185",85,"NumberSpots","187"
"186",86,"NumberSpots","737"
"187",87,"NumberSpots","104"
"188",88,"NumberSpots","276"
"189",89,"NumberSpots","485"
"190",90,"NumberSpots","404"
"191",91,"NumberSpots","184"
"192",92,"NumberSpots","84"
"193",93,"NumberSpots","144"
"194",94,"NumberSpots","128"
"195",95,"NumberSpots","65"
"196",96,"NumberSpots","252"
"197",97,"NumberSpots","286"
"198",98,"NumberSpots","215"
"199",99,"NumberSpots","37"
"200",100,"NumberSpots","755"
"201",1,"Birthday","2017-04-23"
"202",2,"Birthday","2016-06-05"
"203",3,"Birthday","2017-04-04"
"204",4,"Birthday","2014-11-29"
"205",5,"Birthday","2015-01-16"
"206",6,"Birthday","2015-06-11"
"207",7,"Birthday","2015-06-05"
"208",8,"Birthday","2016-01-19"
"209",9,"Birthday","2016-03-28"
"210",10,"Birthday","2016-09-27"
"211",11,"Birthday","2014-09-17"
"212",12,"Birthday","2015-06-17"
"213",13,"Birthday","2015-12-28"
"214",14,"Birthday","2016-05-05"
"215",15,"Birthday","2014-09-09"
"216",16,"Birthday","2016-04-17"
"217",17,"Birthday","2014-11-16"
"218",18,"Birthday","2017-02-18"
"219",19,"Birthday","2016-10-05"
"220",20,"Birthday","2015-06-10"
"221",21,"Birthday","2016-01-17"
"222",22,"Birthday","2015-10-05"
"223",23,"Birthday","2015-03-08"
"224",24,"Birthday","2015-01-01"
"225",25,"Birthday","2014-11-24"
"226",26,"Birthday","2017-02-08"
"227",27,"Birthday","2015-08-30"
"228",28,"Birthday","2015-08-25"
"229",29,"Birthday","2017-05-09"
"230",30,"Birthday","2015-03-21"
"231",31,"Birthday","2015-05-20"
"232",32,"Birthday","2016-07-04"
"233",33,"Birthday","2017-03-13"
"234",34,"Birthday","2015-12-17"
"235",35,"Birthday","2016-02-17"
"236",36,"Birthday","2014-12-28"
"237",37,"Birthday","2017-01-09"
"238",38,"Birthday","2014-12-01"
"239",39,"Birthday","2015-07-31"
"240",40,"Birthday","2016-05-07"
"241",41,"Birthday","2015-10-19"
"242",42,"Birthday","2015-07-22"
"243",43,"Birthday","2017-05-05"
"244",44,"Birthday","2015-04-09"
"245",45,"Birthday","2016-10-27"
"246",46,"Birthday","2016-02-11"
"247",47,"Birthday","2017-04-07"
"248",48,"Birthday","2015-03-13"
"249",49,"Birthday","2015-11-16"
"250",50,"Birthday","2015-10-26"
"251",51,"Birthday","2014-11-10"
"252",52,"Birthday","2015-11-09"
"253",53,"Birthday","2015-09-19"
"254",54,"Birthday","2016-10-28"
"255",55,"Birthday","2014-10-23"
"256",56,"Birthday","2016-05-01"
"257",57,"Birthday","2015-12-07"
"258",58,"Birthday","2015-02-26"
"259",59,"Birthday","2015-08-20"
"260",60,"Birthday","2016-11-02"
"261",61,"Birthday","2016-03-09"
"262",62,"Birthday","2016-02-23"
"263",63,"Birthday","2017-02-26"
"264",64,"Birthday","2017-03-07"
"265",65,"Birthday","2016-11-11"
"266",66,"Birthday","2015-10-02"
"267",67,"Birthday","2016-02-15"
"268",68,"Birthday","2016-07-06"
"269",69,"Birthday","2016-05-30"
"270",70,"Birthday","2016-10-04"
"271",71,"Birthday","2017-03-27"
"272",72,"Birthday","2014-12-13"
"273",73,"Birthday","2015-11-26"
"274",74,"Birthday","2016-12-01"
"275",75,"Birthday","2017-05-18"
"276",76,"Birthday","2016-04-01"
"277",77,"Birthday","2015-09-23"
"278",78,"Birthday","2015-08-27"
"279",79,"Birthday","2015-05-05"
"280",80,"Birthday","2017-02-13"
"281",81,"Birthday","2017-02-07"
"282",82,"Birthday","2015-04-06"
"283",83,"Birthday","2016-06-13"
"284",84,"Birthday","2015-11-15"
"285",85,"Birthday","2015-01-08"
"286",86,"Birthday","2014-09-14"
"287",87,"Birthday","2016-01-07"
"288",88,"Birthday","2015-12-05"
"289",89,"Birthday","2016-06-19"
"290",90,"Birthday","2015-07-25"
"291",91,"Birthday","2015-03-07"
"292",92,"Birthday","2015-03-09"
"293",93,"Birthday","2014-10-21"
"294",94,"Birthday","2014-10-07"
"295",95,"Birthday","2016-12-23"
"296",96,"Birthday","2016-08-05"
"297",97,"Birthday","2016-11-13"
"298",98,"Birthday","2016-04-22"
"299",99,"Birthday","2015-07-23"
"300",100,"Birthday","2015-08-19"
"301",1,"CelebratesBirthday","TRUE"
"302",2,"CelebratesBirthday","FALSE"
"303",3,"CelebratesBirthday","FALSE"
"304",4,"CelebratesBirthday","TRUE"
"305",5,"CelebratesBirthday","TRUE"
"306",6,"CelebratesBirthday","TRUE"
"307",7,"CelebratesBirthday","TRUE"
"308",8,"CelebratesBirthday","FALSE"
"309",9,"CelebratesBirthday","TRUE"
"310",10,"CelebratesBirthday","TRUE"
"311",11,"CelebratesBirthday","TRUE"
"312",12,"CelebratesBirthday","TRUE"
"313",13,"CelebratesBirthday","FALSE"
"314",14,"CelebratesBirthday","FALSE"
"315",15,"CelebratesBirthday","FALSE"
"316",16,"CelebratesBirthday","TRUE"
"317",17,"CelebratesBirthday","TRUE"
"318",18,"CelebratesBirthday","FALSE"
"319",19,"CelebratesBirthday","TRUE"
"320",20,"CelebratesBirthday","FALSE"
"321",21,"CelebratesBirthday","FALSE"
"322",22,"CelebratesBirthday","TRUE"
"323",23,"CelebratesBirthday","TRUE"
"324",24,"CelebratesBirthday","FALSE"
"325",25,"CelebratesBirthday","TRUE"
"326",26,"CelebratesBirthday","TRUE"
"327",27,"CelebratesBirthday","TRUE"
"328",28,"CelebratesBirthday","TRUE"
"329",29,"CelebratesBirthday","FALSE"
"330",30,"CelebratesBirthday","TRUE"
"331",31,"CelebratesBirthday","TRUE"
"332",32,"CelebratesBirthday","TRUE"
"333",33,"CelebratesBirthday","TRUE"
"334",34,"CelebratesBirthday","FALSE"
"335",35,"CelebratesBirthday","FALSE"
"336",36,"CelebratesBirthday","TRUE"
"337",37,"CelebratesBirthday","TRUE"
"338",38,"CelebratesBirthday","FALSE"
"339",39,"CelebratesBirthday","TRUE"
